ÐòºÅ,EEG_GAT
1,46.22%
2,43.41%
3,49.33%
4,39.85%
5,38.96%
6,36.00%
7,40.00%
8,40.44%
9,42.37%
10,45.19%
11,33.78%
12,37.33%
13,34.22%
14,34.07%
15,43.11%
16,35.85%
17,41.93%
18,45.93%
19,40.30%
20,35.26%
21,44.00%
22,46.67%
23,31.11%
24,34.22%
25,33.19%
26,46.96%
27,44.00%
28,49.04%
29,39.56%
30,50.07%
31,32.44%
32,37.63%
33,39.41%
34,45.48%
35,44.44%
36,32.59%
37,32.44%
38,33.33%
39,36.74%
40,38.96%
41,41.93%
42,44.00%
43,37.63%
44,45.93%
45,37.63%
46,46.81%
47,36.15%
48,57.93%
49,36.74%
50,40.15%
51,39.56%
52,44.15%
53,39.26%
54,38.67%
55,37.63%
56,40.59%
57,40.15%
58,52.15%
59,42.96%
60,44.89%
61,40.00%
62,40.00%
63,40.44%
64,38.67%
65,45.33%
66,59.26%
67,38.37%
68,44.89%
69,33.33%
70,52.89%
71,32.00%
72,56.44%
73,33.63%
74,42.22%
75,37.93%
76,33.19%
77,43.41%
78,40.89%
79,48.15%
80,36.59%
81,32.44%
82,33.33%
83,31.41%
84,53.63%
85,42.22%
86,47.56%
87,33.48%
88,33.68%
89,44.44%
90,37.93%
91,45.63%
92,35.79%
93,33.33%
94,34.52%
95,42.37%
96,41.48%
97,31.70%
98,37.04%
99,37.63%
100,35.56%
101,52.30%
102,46.81%
103,37.63%
104,39.36%
105,36.44%
106,37.33%
107,35.70%
108,43.85%
109,35.70%
Æ½¾ù£º,40.45%
